Comment,Polarity,Subjectivity,Channel
Just stop breathing Dirty hippies The damage is done and cannot be reversed Get with the program,-0.6,0.8,The Mirror
we don 39 t get to see the real fun footage when these idiots get beaten up by people,-0.17500000000000004,0.55,The Mirror
b JUST LOVE OIL b br b SPREAD THE WORD b,0.5,0.6,The Mirror
Who wants to be apart of my our new movement br b JUST LOVE OIL b,0.2787878787878788,0.38484848484848483,The Mirror
Someone should get pepper spray and let them taste it,0.0,0.0,The Mirror
Plod as usual,-0.225,0.225,The Mirror
These people are loosers I have been telling for month that they should go block the parlament or downing street but these cowards keep annoying common folks It fills like they just do this to film the altercations that ensues and earn money from selling the videos to news groups,-0.55,0.7,The Mirror
Well they stopped the police,0.0,0.0,The Mirror
I would like to see this tactic tried here in America I 39 m sure it would involve ambulances,0.5,0.8888888888888888,The Mirror
Orange paintball targets,0.0,0.0,The Mirror
Fighting is destruction for human all people 39 s remain with love brotherhood,0.25,0.35,The Mirror
They should not be allowed to disrupt everyone else s life it s about time the government and the police took firm action against these cranks,-0.05,0.25,The Mirror
There like flies around terds,0.0,0.0,The Mirror
Why does this continue The same reason terrorists keep committing atrocities the media keep giving them endless publicity,-0.0625,0.4375,The Mirror
Unemployed idiots,-0.8,0.8,The Mirror
Jump on the floor and say they hit me then retaliate in self defence,0.0,0.0,The Mirror
Would 39 nt it be a shame if your brakes failed,-0.5,0.3,The Mirror
The policing is getting less and less squeaky bum time for Dales army,-0.16666666666666666,0.06666666666666667,The Mirror
Fake protest to make money from their vids on youtube and dumb vulnerable followers Roger Hallam dont give a shite for climate change These false protest scams are making him very rich scamming parasite,-0.2575,0.7150000000000001,The Mirror
They have no balls one guy walked up and took their sign and they did nothing Drive slowly through the line so they can t say you tried to run over them,-0.30000000000000004,0.39999999999999997,The Mirror
Why dont they just go to the 1 place that sells oil the Garrages i mean is it that hard to figure out br Doing this on the street affecting us is no good plus there getting hatred br But ESSO OR BP br See how it goes when they start affecting the,-0.3180555555555556,0.6097222222222222,The Mirror
Every time something new and funny,0.19318181818181818,0.7272727272727273,The Mirror
JUST STOP OIL PROTESTS,0.0,0.0,The Mirror
The drivers should get in a line bumper to bumper once one gets through go for it,0.0,0.0,The Mirror
Well done crew All my love and support I 39 ll see you at the next one,0.25,0.3,The Mirror
confronted by brain dead sheep br Fixed it,-0.05,0.30000000000000004,The Mirror
Oliven oil to,0.0,0.0,The Mirror
Pleading with them will do no good This won t stop until some noses get broken,-0.375,0.5,The Mirror
Protest about oil whilst using it to travel Lead by examples fools,0.0,0.0,The Mirror
Has noboby figured this out yet You have a dozen muppets linking arms If another dozen muppets link arms and walk them off the road you cancel them out They lose You win The end,0.8,0.4,The Mirror
They 39 re using plastics wearing rubber in their shoes and carrying mobile phones all of which have come from overseas and therefore have used Oil to get into the country hyprocrit scum,-0.3,0.4,The Mirror
Police man at the end is everything ok protesters qant some water cup of tea maybe br Love French Police last week shows us up even more,0.3,0.33333333333333337,The Mirror
How can they have the right to protest when they restrict the rights of others not even basic human rights allow you to impinge upon others freedoms,0.09523809523809523,0.25357142857142856,The Mirror
Are these protesters real that stupid The UK emissions are minuscule Here is a headline they need to protest quot China is building six times more new coal plants than other countries report finds quot,-0.017727272727272703,0.5259090909090909,The Mirror
They all look like they are working age why are they not at work i worked for 51 years only not at work when on holiday or sick blinking country 39 s gone right down the pan,-0.14603174603174604,0.6704365079365079,The Mirror
Protestors continue to dork up,0.0,0.0,The Mirror
Just imagine blocking roads where it 39 s all busy for whole years and yet those cars are still running on fuel blocking the cars would result in a massive amount of emission from those cars Hell lets count this will get to 10 times more poluted than last year,0.16,0.4533333333333334,The Mirror
Wow nice to see the Policeman doing his job PATHETIC,-0.10000000000000002,1.0,The Mirror
Middle class labour voters and a so called police officer out on a jolly,0.0,0.0,The Mirror
the banners they hold are made from plastic vinyl and the hi viz tops made using plastic vinyl all made from oil,0.0,0.0,The Mirror
The biggest bunch of assholes in Britain What are the trying to achieve apart from annoying everybody who can 39 t do anything about the issue Middle class bored entitled spoilt brats who hate other people,-0.445,0.635,The Mirror
Just stop brain,0.0,0.0,The Mirror
How weird they start protesting just how we are finding out about this Complete corrupt system we are living in and have been for 30 years,-0.3,0.7999999999999999,The Mirror
Great one has a ruck sac made from oil by products,0.8,0.75,The Mirror
L L,0.0,0.0,The Mirror
These unclean unemployable hippies are groomed for these protests trained by someone and have a lot of privately backed money to produce their banners the police need to weed out the backers and end this ridiculousness for good arrest the backers stick them in jail and the story goes away,0.13749999999999998,0.24375000000000002,The Mirror
I swear the govt and police love watching common citizens suffer with stupid bullshit everyday This is their source of entertainment,-0.19999999999999996,0.675,The Mirror
Time this madness was stopped They are blocking a highway Disperse and arrest Job done,-0.05,0.0,The Mirror
Climate emergency is our environment changing too quickly for us to adapt More severe weather which will affect everyone financially but in the near future humans just can t see past there day to day,0.11388888888888887,0.29583333333333334,The Mirror
They are our heroes on the right side of history,0.2857142857142857,0.5357142857142857,The Mirror
I 39 d love to be a copper Every aggressive motorist would be pulled over and detained Aggressive motorists are unlawful as they are interfering with protester 39 s rights to protest The aggressive motorists think they are a law unto themselves But where are the cops Hiding in their safe cosy police station Where is the quot Super quot Shuffling worthless paper on her desk when she should be supervising the demo As a commander she should have boots on the ground not under the desk,0.1333333333333333,0.6666666666666666,The Mirror
They were outside the Manchester arena blocking the road,0.0,0.05,The Mirror
So I d like to see these clowns come to the States and try this in Chicago or New York Lol These days people die daily for less in those cities,0.19242424242424244,0.3053030303030303,The Mirror
When people who earn their living are being hindered by bored protesters in receipt of benefits conflicts will ensue,-0.35,0.55,The Mirror
Lmao they so dumb if some one from their group gets injured they would still be taken on a petrol engine ambulance,0.11249999999999999,0.75,The Mirror
Get back to work Tony,0.0,0.0,The Mirror
They 39 re endangering peoples lives br They don 39 t even abide by their own requests br br Their sad oathetic nothing in their lives scum amp should be treated as such br br Saying sorry but continuing to block the road br br What happens when theirs an ambulance with children seriously injured inside amp they pass because precious time was wasted because of these idiots holding up the ambulance br br br Fucking SCUUUUM,-0.21333333333333332,0.7166666666666666,The Mirror
ban all cars,0.0,0.0,The Mirror
Violence,0.0,0.0,The Mirror
All this chaos on people on whom the Tories with their chaos have pushed into desperation I would support JSO but the organisation hasn 39 t thought this through They should win over not annoy the public,0.4,0.23333333333333334,The Mirror
Weirdos,0.0,0.0,The Independent
I dont understand their cause aren 39 t they supposed to get people on their side and not against them,0.0,0.0,The Independent
I m kinda hoping they stage a protest at a wrestling event Even though wrestling is scripted if the wrestler s feel threatened by a fan they ll kick the crap out of them I ve even seen a referee stomp a fan for running into the ring,-0.8,0.8,The Independent
tackle was too soft next time a proper sin bin style collar bone cracker tackle needed,0.03333333333333333,0.15,The Independent
If these knuckle heads got their way it would lead to deindustrialization br Which would lead to job losses br Which would lead to massive poverty br Which would lead to more people not giving a damn about the environment br Which would lead to more polution br Which would suit their donors perfectly because for them this is not about the environment but about power and control br br Useful idiots,0.24999999999999997,0.6333333333333333,The Independent
Leave it to fascistic amp tyrannical leftists to utilize even the Earth 39 s changing climate as just another excuse for the sake of obtaining more political power towards authoritarianism,0.15,0.21666666666666667,The Independent
TIME WE LISTEN I have berated Just Stop Oil protesters for weeks wanting to beat amp pour oil on them Yet maybe timely for UK government amp corporations to address JSO concerns I concede do have some merit in return for them ending destruction of artwork amp disruption to traffic sport etc,0.0,0.0,The Independent
Funny these losers aren 39 t running around Saudi Arabia with their buffoonery I wonder why,0.024999999999999994,0.6,The Independent
a href seeking attention because their momma doesn 39 t love them XD,0.5,0.6,The Independent
these monkeys are not very bright why would you attempt to disrupt athletes who play a game where you tackle each other,-0.26474358974358975,0.4634615384615384,The Independent
Idk what should impress me more The tackle or the camera zoom,0.5,0.5,The Independent
Ask this brainless idiots if they need any medicine or anything else which is made from oil and right after asking them put them in jail for one year minimum,-0.20476190476190478,0.44523809523809527,The Independent
Guy must love negative attention,0.1,0.5,The Independent
Best thing to do is to make up a team of these idiots and have them play a real team Problem solved,0.13333333333333333,0.46666666666666673,The Independent
Someone needs to put a stop to these idiots before someone hurts them badly,-0.75,0.7333333333333334,The Independent
They had seats on the field there 39 s no way they got those without corporate sponsorship Sue whoever is paying these vandals,0.0,0.0,The Independent
I 39 m convinced that there are those who join this group because they 39 re stupid and there are those who join because they want an excuse to act stupid,-0.5499999999999999,0.6833333333333332,The Independent
Just wait until 2030 forget even 2050 your grandchildren will have no food But sports and beer are most important,0.45,0.75,The Independent
I d honestly wish to end the world already we are fucked,0.0,0.8,The Independent
how can JSO be such total cnuts,0.0,0.625,The Independent
a href this guy had waited his whole life to pull out the Rey Mysterio Hurricarana special br,0.2785714285714286,0.4857142857142857,The Independent
Just look at the feeling of quot look at me quot on the self promoting protester as he has achieved his desire for his moment of fame to boost his shallow life These people have the same problem as the much more danger to the earth C N D protesters who marched for decades and achieved ZERO because more countries now have and more countries desire nuclear weapons since its invention That was because they were up against the elite who rule this world just as the profit motive revolves around fossil fuels The people are spoon fed the belief that their vote gives them democracy which of course is the big lie but keeps them at bay,0.19444444444444445,0.37083333333333335,The Independent
It is a crazy and sick world we live in These things happen We cannot br stop them I have seen naked women and naked men run on pitches br and believe me the spectators well br I have studied Psychology and Philosophy br Human Behaviour is Unpredictable br We do not know what our Behaviour will be like in any day br What we do and what we say in any day is not the same br This is the Mystery of Life br There is a saying What can happen will happen br The Alpha is the Omega NEVER forget that,-0.16807359307359307,0.5352678571428571,The Independent
And you want your liberal democracy together with LGBFUC amp I NG to impose to the rest of the world It 39 s pure joy watching how your arogant world is falling apart,0.5071428571428571,0.35,The Independent
shout out two them two guys who tackled demk,0.0,0.0,The Independent
They need to be taken to a mental health care facility,-0.1,0.2,The Independent
As a penalty he should have to watch three whole Soccer matches back to back,0.06666666666666667,0.13333333333333333,The Independent
not welcome,-0.4,0.9,The Independent
Should 39 ve thrown him into the crowd and let them deal with the twat Just get a telling off from the cops,0.0,0.0,The Independent
Where 39 s the high tackle when you need it,0.16,0.5399999999999999,The Independent
Why the rugby These quot people quot just keep showing new levels to their stupidity single handedly turning activists into jokes disgraceful,-0.17835497835497835,0.5562770562770563,The Independent
dont stop oil give these guys not what they want without oil our world goes down the protesters brainless we need for the next 100 years oil Oil is important without we would go back to 1870 maybe in the future we need it not more but in moment we need it we cant stop oil now,-0.0009259259259259273,0.3189814814814815,The Independent
Another case of quot Rent a Crowd quot,0.0,0.0,The Independent
I was really hoping on of the big boys would ve laid one out cold,-0.13333333333333333,0.43333333333333335,The Independent
Send Them to The Cartel,0.0,0.0,The Independent
They need to be charged for this What they did affected the outcome of the game,-0.4,0.4,The Independent
This should be the standard procedure until the police are willing to do something br br I 39 m an expat but returned to the UK for a year during the pandemic I honestly believe you have more chance of seeing a unicorn in England than a police officer nowadays and yet the Tories always bang on about hiring another 10 000 police,0.3375,0.5375,The Independent
I thought those rugby boys were remarkably restrained I thought those quot orange eejits quot would be taken down in a bone crunching manner Still the stewards did it so Yay,0.2972222222222222,0.5194444444444445,The Independent
At least it wasn 39 t paint,-0.3,0.4,The Independent
The Earth warming rate is now 0 27 C per decade and accelerating We gonna pas 1 5C in 2027 Past 1 5C it is when ecosystems start to fall apart and natural life support systems start to disintegrate,-0.075,0.325,The Independent
ALSO JSO SLANDERS AUTISM,0.0,0.0,The Independent
BOOOOOOOOOOO JSO,0.0,0.0,The Independent
You know there are ways to inspire people to be on your side and there are ways to make people hate you this will make people hate you but the reality that nobody wants to accept is they aren t wrong about the planet,-0.47500000000000003,0.7000000000000001,The Independent
I used to be an environmental activist back in the day but we focused on winning over the hearts and minds of folk not make them hate us like these narcissistic fools do,-0.10000000000000002,0.5499999999999999,The Independent
Their mentality is just as foolish as leaving a party before it starts just because it s eventually going to be over,0.0,0.0,The Independent
TARGET Oil Company CEOs NOT the Public br TARGET Putin NOT Ukrainian civilians br TARGET Arms dealers NOT Politicians br TARGET Gun companies NOT your neighbours,0.0,0.06666666666666667,The Independent
Why didn 39 t the rugby players tackle any of them with full force,0.35,0.55,The Independent
a href booooo boooo br br br br br br a href yyyeeeeeaaaasssss,0.0,0.0,The Independent
I would be more concerned about those so called security,0.5,0.5,The Independent
BUMS,0.0,0.0,The Independent
They should go to oil companies instead of peacefull public space only to make a disruption nasty,-0.3333333333333333,0.6888888888888888,The Independent
The police play a very suspicious role They are appointed to protect this scum This is a very dirty game In the Netherlands the police were wrong in World War II This is something similar,-0.2966666666666667,0.5666666666666667,The Independent
I would sponsor their trip to China to protest over there,0.0,0.0,The Independent
they want sympathy and their getting the opposite their being hated,-0.45,0.35,The Independent
Man went for the RKO,0.0,0.0,The Independent
BIDENS SHEEP AT WORK,0.0,0.0,The Independent
So glad to see the Independent getting rid of so called Free Speech br For too long people in the UK have protested br Can we just ban it br We have a Government a Police Force and BBC br There is no need for any Public Protest or Debate br We need immediate legislation to ban any protest against all government decisions,0.16999999999999998,0.4783333333333334,The Independent
The difference between rugby and football is you would get slide tackled by a player then eaten alive by the fans,0.1,0.4,The Independent
I wish they could do this stunt in a PNG rugby league match,0.0,0.0,The Independent
Certainly a great way to make people sympathise with the cause If only the takle was harder,0.23333333333333336,0.5833333333333334,The Independent
They should take the protester inside the club house and,0.0,0.0,The Independent
I 39 m 66yrs I would have taken that guy off the field and he would be on his tip toes making squeaking noises,0.0,0.0,The Independent
Kick them out of the country,0.0,0.0,The Independent
Dosing someone with a substance is that not assault,0.0,0.0,The Independent
Now I know these protesters are extremely thick but to run onto a rugby match with 30 odd 16 stone men with an average height of 6 39 1 39 39 who are extremely fit and strong well that is unbelievably moronic,-0.005555555555555564,0.5430555555555555,The Independent
send these guys to fight ISIL,0.0,0.0,The Independent
new wrestling finisher,0.13636363636363635,0.45454545454545453,The Independent
How to win friends and influence people NOT,0.8,0.4,The Independent
What makes me laugh is that these virginous dyed haird shaven headed puny pricks think they can take on big rugby players,0.15,0.1,The Independent
Just stop oil And they use oil byproducts And just how did they get there Clowns,0.0,0.0,The Independent
first they block roads which isnt there road people get angry now they making an ruby match bad if you want people to take your side dont make them annoyed,-0.33749999999999997,0.7,The Independent
Should 39 ve called a scrum and used the protesters as the ball br These people are complete morons how they expect to gain support of the ordinary people with stunts like this,-0.3166666666666667,0.6333333333333333,The Independent
,0.0,0.0,The Independent
This is not Just Stop Oil It is a couple of guys and girls thinking they are doing Just Stop Oil HA HA HA from Finland,0.0,0.0,The Independent
What a moron these people are They are against oil So go in front of the oil refinery if you want to protest against them WTF,-0.65,1.0,The Independent
I didn t think it was possible but these guys have somehow managed to ruin the colour orange,0.0,1.0,The Independent
They need a good slap I 39 m sorry,0.09999999999999998,0.8,The Independent
THESE PEOPLE ARE SO STUPID,-0.7999999999999999,1.0,The Independent
come on is this environment protection protesting or pure terrorism,0.21428571428571427,0.5,The Independent
Why do you put up with that,0.0,0.0,The Independent
Meanwhile in the street outside normal everyday people are forced to wait for those horrible protesters br One rule for some and another for the ordinary folk br The Police should be tackling the protesters in the street the same way they were tackled here,-0.2285714285714286,0.44642857142857145,The Independent
I 39 m willing to bet that is oil based paint,0.25,0.75,The Independent
These just stop oil clowns should be made illegal,-0.5,0.5,The Independent
I do not like how crap the police and justice system are at handling these attention seeking brats So far they have messed a very good snooker event with the result being that the MC and other workers had to work hard to clean up the table and balls and stuff while the protestor who did that was let off from cleaning for some stupid reason thrown paint at a good Van Gogh painting protested in the middle of the road when people have important work to get on with thrown paint on the sides of buildings and now they are messing around in a rugby field with the police and security not doing their job properly Look we all know that the Climate crisis is serious but these childish antics will not warm the public to your group it will distance the public away from you you doughnuts,-0.02333333333333334,0.5685416666666666,The Independent
Crazy to me people care more about a rugby match then about our planet,-0.04999999999999999,0.7,The Independent
JSO 39 s agenda is world depopulation through starvation poverty and disease They want to reduce the world 39 s population BY 90 which is what would happen if you stopped oil and gas Ask these dangerous idiots what they would use in place of oil and gas They have no creditable answer because there is none It 39 s about time people should understand how dangerous these people are,-0.6666666666666666,0.8666666666666667,The Independent
Good on the rugby players for not reacting I 39 m sure they were tempted to give out a slap Let the authorities deal with these morons,0.1333333333333333,0.8296296296296296,The Independent
a href YALL SUCK br a href b FLINTLOCKWOOD b,0.0,0.0,The Independent
Well done T Curry for helping take out the trash,0.0,0.0,The Independent
I would ve speared at these knobs like that guy and then hit a cheeky elbow,0.0,0.0,The Independent
Guys just send them to California and tell them to protest there lets see what happens,0.0,0.0,The Independent
How did it take so long to tackle that guy,-0.05,0.4,The Independent
Ideological nut jobs,0.0,0.0,The Independent
I much preferred the old fashioned nude pitch invaders of the 70 39 s and 80 39 s,0.15000000000000002,0.2,The Independent
60 000 climate protesters in London No coverage br 3 guys run on a rugby pitch makes the news See how this works,0.0,0.0,The Independent
Thank you brave protestors,0.8,1.0,The Independent
the eco terrorists always create problems for the general public,0.02500000000000001,0.2833333333333333,The Independent
Beyond autism,0.0,0.0,The Independent
They manage to make everyone hate them,-0.8,0.9,The Independent
It s only privileged white people who carry out these acts,0.0,0.5,The Independent
They are just doing what Labour will do if they get in power stop people from working,0.0,0.0,The Independent
those pvc banners are kinda interesting a couple google searches got me to this quot PVC is made by reacting chlorine carbon and ethylene a petrol product The raw materials are essentially salt and oil Electrolysis of saltwater produces the chlorine which is combined with ethylene obtained from oil to form vinyl chloride monomer VCM quot,0.08974358974358974,0.4205128205128205,The Independent
TAKE THEM FOR A RIDE A FAST RIDE hehehehehe,0.2,0.6,The Independent
Why are they wearing petroleum products in the Green Nachi,-0.2,0.3,The Independent
Oil protesters funded by Putin br Putin 39 s Useful Climate Idiots,-0.25,0.4,The Independent
If they taxed brains they would get a right rebate,0.2857142857142857,0.5357142857142857,The Independent
Run em over,0.0,0.0,The Independent
The only people who attend these protests are jobless bimbos with nothing better to do than harass the general public,0.1375,0.5166666666666667,The Independent
Too much of a free time,0.4,0.8,The Independent
Green zealots such as just stop oil are parasites stopping people going about their daily lives to protest against the lifeblood of our daily existence Without fossil fuels we would all be doomed to living back in the dark ages with people freezing to death Extinction rebellion just stop oil must be stopped from playing Russian roulette with our future energy needs,-0.04375,0.16562500000000002,The Independent
Oil today will they try to ban water next,0.0,0.0,The Independent
In years to come no more batteries,-0.25,0.5,The Independent
I swear to god if I see these guys messing with my car or my family I 39 ll drive over them br br Maddens,0.0,0.0,The Independent
Hope we keep using oil forever to teach them a lesson and that there plan to 39 just stop oil 39 wont work lol,0.8,0.7,The Independent
i hope members of the public find out who these people are and disrupt there work place and homes these people need to face huge fines and long prison sentences,0.1166666666666667,0.45555555555555555,The Independent
It 39 s interesting that they don 39 t want to really have a discussion as NO COMMENTS are allowed on their YouTube channel It 39 s the same now with insulate Britain Guessing they realise that they would have no positive comments in favour of their actions,0.14659090909090908,0.34261363636363634,The Independent
I bet they all use the bus or drive cars,0.0,0.0,The Independent
What a bunch of crazy people,-0.6,0.9,The Independent
Jus whip em all,0.0,0.0,The Independent
Eh up our kid eh,0.0,0.0,The Independent
Weirdos,0.0,0.0,The Independent
Community issued beatings seem to be on the cards for these affluent sheep,0.6499999999999999,0.95,The Independent
Just arrest these Marxist anarchists The same lot as extinction rebellion or insulate Britain or blm U K these are hardline Marxists who want to destroy the west it s zero to do with the environment or anything else If the public don t stand against these people our society is in serious danger of being controlled by radicals,-0.11666666666666665,0.17166666666666666,The Independent
Someone needs to shoot the tanker and blow them all up,0.0,0.0,The Independent
Hope these people don 39 t need a ambulance for themselves or a loved one because they won 39 t be able to get there with no fuel,0.6,0.7125,The Independent
So these twats right at the end sitting on the top of a fuel tanker the one at the beginning was miscellaneous but probably nasty emergency code was 3Z which is the code on the class placard and people more in the know than me will tell you what that means I think anything with E means evacuate Does anyone want to help the poor Africans digging the lithium out of the ground for all of your wonderfully environmentally friendly EVs,0.18010204081632653,0.6622448979591837,The Independent
It s good to know the white middle class still has a cause,0.2333333333333333,0.20000000000000004,The Independent
These people should be treated like terrorists,0.0,0.0,The Independent
Bring out the water cannons Boris That will get rid of them and give these swampy 39 s a wash at the same time,0.0,0.125,The Independent
7 620will remove the fckin idiots,-0.8,0.8,The Independent
Send the bill to them and defund the green terrorist groups,-0.2,0.3,The Independent
You would get big financial support if you revolt against your Government and the Elites Just saying there are business people who do not like the status quo who would back you heavily Again just saying,-0.05,0.15,The Independent
i bet they all drove there cars to get there lol why dont they get these twats in any other counrty onlu uk jail them all,0.19166666666666668,0.35833333333333334,The Independent
It 39 s time these terrorist organisations were banned and members imprisoned,0.0,0.0,The Independent
That s right cause more misery for people trying to heat their homes cook their food and get to work Bunch of Morons,-0.004761904761904782,0.6785714285714285,The Independent
The majority of us can 39 t afford to change to electric cars replace oil or gas heating to heat pumps solar panels etc etc br I live in a rural setting if I had no access to heating oil I 39 d have no alternative but to burn coal,0.06818181818181818,0.25,The Independent
Clearly to soft I would of just ran them over and set fire to the drums STOP OIL BBQ,0.1,0.35,The Independent
What the fk send the police in take away any food or water drinks they have the ones on the trucks strap them down secure and drive the trucks out The ones in the road spray with cold water they continually they will move eventually br br It s ridiculous I thought we had big new laws and they can get big fines,-0.07893217893217894,0.5062049062049062,The Independent
quot stop oil quot br OK so no more plastic no more rubber no more cars no more food import exports no more medicines no more construction the list is endless br br do these people actually understand the implications if we actually did what they are asking and stopped using oil now br people would die in their 1000s br br these people are the biggest morons in Britain,-0.17500000000000002,0.49545454545454537,The Independent
I wish they would arrest these idiots for obstruction,-0.42500000000000004,0.4,The Independent
Time for the Policing Bill to be rushed through Parliament and riot police along the lines of the French CRS recruited to deal with these anarchists disrupting fuel supplies The present 39 soft touch 39 policing of disruptive protests is failing the law abiding mass of the public,0.025,0.10416666666666666,The Independent
Them cunts want locking up,0.0,0.0,The Independent
Retired and minted or on unemployment benefit and waiting to inherit the house so they don 39 t need petrol in other words they want to make a protest by your sacrifices,-0.125,0.375,The Independent
But they use oil everyday more than likely used some to get to these locations their clothes have plastic in tham thd banners they use probably have used oil even the bloidy high visibility jackets have used oil they consume it also,0.11499999999999999,0.66,The Independent
I hope they all catch horrible disfiguring diseases,-1.0,1.0,The Independent
Soros funded WE F backed All part of their reset amp distraction from injection,0.0,0.0,The Independent
They 39 re domestic terrorists Products of a university education,0.0,0.1,The Independent
Bunch of oxygen theives,0.0,0.0,The Independent
They all drove separate cars there as well very green idiots,-0.53,0.595,The Independent
Where the hell are the useless police,-0.5,0.2,The Independent
Send tham ol to prision this idiots protester UK need to change the low nprotest in freedom but don 39 t block other people 39 s freedom They are damagimg working peopel freedom THAYS ILLEGAL FU THIS PROTESTERS,-0.35625,0.49375,The Independent
Look what government says They saying non of the the Russian oil gas tankers will be allowed in to UK ports but on other side UK using many American Chinese tankers which registered in Cayman island to bring oil from Russia The government keeps lying to us,0.075,0.175,The Independent
lock them up the wasters,0.0,0.0,The Independent
Sitting on top of a fuel tanker is like sitting on top of mobile bomb all it takes is a static discharge and then they 39 ll be all over the news,0.5,0.6333333333333333,The Independent
Don 39 t surpose they walked or cycled to the place of protest What a sad bunch of freaks let 39 s have another covid wave that tends to keep em locked away,-0.5,1.0,The Independent
Smart people who want to change the world for the better become engineers and scientists design and invent new green technologies like electric cars wind turbines ever improving cleaner greener batteries and bio fuels br Stupid people who want to change the world lock themselves to oil drums and oil tankers and do no good what so ever or make any difference to climate change,-0.0832251082251082,0.5829004329004329,The Independent
Just nick them the idiots,-0.8,0.8,The Independent
Dont worry UK gov WORKING ON A TIME TABLE to do this but how many Russian spies in parliament being promoted to a lord will vote for this,0.25,0.25,The Independent
This is not the time guys You re just making things WORSE,-0.4,0.6,The Independent
Lol Twats,0.8,0.7,The Independent
These wankers don t care about people who need this fuel,0.0,0.0,The Independent
The thing thay makes me laugh about this is that all the stuff in there house and even the clothes thay are wearing were at some point on a ship or a lorry which both are powered by oil diesel fuel So my owning all that stuff thay are technically supporting the use of them fuels,0.275,0.175,The Independent
Stop Oil and we will be like Madmax within a couple of months,0.0,0.0,The Independent
500,0.0,0.0,The Independent
When members of the public are prevented from going about their lawful business by others acting illegally for example blocking roads they should have carte blanche to use whatever force they consider necessary to proceed in this case driving over the unwashed idle scum seems appropriate,-0.042857142857142864,0.3523809523809524,The Independent
Hurry up putin with that,0.0,0.0,The Independent
For the love of God arrest these complete waste of space idiot 39 s any other country would move them properly here they ask them if everything is OK at home absolutely pathetic,-0.11944444444444444,0.41944444444444445,The Independent
Europe is switching to firewood and coal Thanks to America and the English Hannibals the killers of millions of people and children,0.1,0.1,The Independent
You f cking bunch of muppets Do you think queuing at fuel stations queueing at road blockages help reduce You all should get a job and start working there are lots of job opportunities instead of this nonsense what you do Nothing will change due to your actions btw,-0.125,0.375,The Independent
They are relating me to that insulate britain stuff,0.0,0.0,The Independent
Just went to go for a drive in my car only to find out its now identifying itself as a motorbike and I haven 39 t got a helmet so I 39 d better stay in weird I hope my chocolate bar doesn 39 t turn into a carrot over night,0.0,0.8333333333333334,The Independent
Alert everyone effected by disruption br XR confounder responsible for diesel shortage is about to meet tomorrow with activists br Bring your friends and let see if they like when the shoe is on the other foot br Address Umbrella Fair OrganisationKettering Road br Northampton NN1 4LG br Time br a href href,0.2583333333333333,0.6083333333333334,The Independent
Middle class clowns stopping hard working people facing a cost of living crisis Classy,-0.0638888888888889,0.48055555555555557,The Independent
Another lot ready for a prison term,0.2,0.5,The Independent
Glad to see police arrested some of them,0.5,1.0,The Independent
Stop the oil let the blood drain Democracy Make UK Great Forever Rape QEII,0.8,0.75,The Independent
Get them locked up,0.0,0.0,The Independent
Stop oil as they hold up their plastic signs Hipocrits,0.0,0.0,The Independent
As much as this and insolate Britain was incredibly frustrating I worry this gives the police and government more powers to ban protesting which they have already used these freedom rights very often disappear and don t come back,0.1,0.38,The Independent
A new flagship UN report on climate change out Monday indicating that harmful carbon emissions from 2010 2019 have never been higher in human history is proof that the world is on a fast track to disaster Ant nio Guterres has warned with scientists arguing that it s now or never to limit global warming to 1 5 degrees,0.11727272727272728,0.33090909090909093,The Independent
I imagine they all walked and cycled to the protest plebs,0.0,0.0,The Independent
Theres a war going on and its a war against us,0.0,0.0,The Independent
Stop the oil Ok let 39 s do that Question how will lorries bring produce to shops How will people in rural areas heat their homes How will millions of workers get to work How will public transport operate How will industries operate How will airlines operate The list is endless Stupid idea but then we are dealing with a minority of retired idiots with nothing to do other than pull stupid protests like this that will achieve nothing,-0.26875,0.5614583333333333,The Independent
stupid people are dangerous,-0.7,0.95,The Independent
How did they all get there did they walk,0.0,0.0,The Independent
Bring the country to its knees Like in the early naughties Start quing at the pump now people,0.1,0.3,The Independent
Although they have a good idea and protest for arguably the greater good They can 39 t have picked a worse time I am a student and in accommodation and got it easy but stopping the flow of oil will not help with the current supply and price of the cost of living for the people out there who are making ends meet,0.32222222222222224,0.5888888888888889,The Independent
Tear gas will work,0.0,0.0,The Independent
I hope all these poor unfortunate idiots walked or cycled to the protest because I assume they don 39 t own or use any form of motorised transport,-0.275,0.8500000000000001,The Independent
These hippies make more pollution than they stop,0.5,0.5,The Independent
These looney woke protesters will be sorry for their actions when they have to walk to the shops and find there s no food on the shelves or medicines available for them Serves them right Idiots The lit of them,-0.15357142857142858,0.6839285714285714,The Independent
Hypocritics,0.0,0.0,The Independent
These protesters are wasting every one time Pointless They try to do good things but just too small,0.06666666666666665,0.5,The Independent
Stopping the transit of vital energy during an energy crisis Plough the field,0.1,0.4,The Independent
Woke protesters always wear anoraks and knapsacks weird,-0.5,1.0,The Independent
why dont they piss off to Brazil and chain themselves to some trees to stop the deforestation there that will help more or protest in India or China,0.5,0.5,The Independent
Can 39 t wait to fill my car to full and make some more flowers cry,0.425,0.525,The Independent
Stupid brats I thought they are protesting against the soaring prices but they are the reason for all charges they work with the government they created ulez charge congestion charge city charge what 39 s next,-0.39999999999999997,0.5,The Independent
Looks like quot Insulate Britain is Back quot funded by goverment,0.0,0.0,The Independent
